created_at,count
2024-05-13 19:14:13 -0600,17
2024-05-13 19:22:19 -0600,18.5
2024-05-13 19:51:09 -0600,14.5
2024-05-14 10:10:53 -0600,28.5
2024-05-14 10:20:50 -0600,20.5
2024-05-14 11:42:01 -0600,28.5
2024-05-14 11:50:42 -0600,27
2024-05-14 12:42:24 -0600,27
2024-05-14 12:53:22 -0600,23
2024-05-14 13:12:13 -0600,25
2024-05-14 13:20:47 -0600,28.5
2024-05-14 13:40:53 -0600,20.5
2024-05-14 13:52:48 -0600,23
2024-05-14 14:02:05 -0600,26
2024-05-14 14:11:33 -0600,24
2024-05-14 14:31:13 -0600,20.5
2024-05-14 14:53:48 -0600,20
2024-05-14 15:11:15 -0600,23.5
2024-05-14 15:21:00 -0600,22
2024-05-14 15:36:41 -0600,17.5
2024-05-14 15:46:58 -0600,19.5
2024-05-14 15:53:58 -0600,19.5
2024-05-14 16:02:58 -0600,16.5
2024-05-14 16:15:55 -0600,17.5
2024-05-14 16:21:08 -0600,17.5
2024-05-14 16:35:58 -0600,17
2024-05-14 16:41:05 -0600,18
2024-05-14 16:56:58 -0600,15.5
2024-05-14 17:01:41 -0600,18
2024-05-14 17:16:57 -0600,18
2024-05-14 17:27:00 -0600,17.5
2024-05-14 17:31:24 -0600,16.5
2024-05-14 17:42:37 -0600,18.5
2024-05-14 17:52:06 -0600,18.5
2024-05-14 18:04:58 -0600,19
2024-05-14 18:12:22 -0600,16
2024-05-14 18:26:09 -0600,14
2024-05-14 18:36:58 -0600,18
2024-05-14 18:46:58 -0600,17.5
2024-05-14 18:51:54 -0600,17.5
2024-05-14 19:01:15 -0600,16.5
2024-05-14 19:12:13 -0600,16.5
2024-05-15 10:28:17 -0600,25.5
2024-05-15 11:18:11 -0600,23
2024-05-15 12:58:37 -0600,21.5
2024-05-15 13:08:33 -0600,22.5
2024-05-15 13:18:18 -0600,21
2024-05-15 13:29:01 -0600,18.5
2024-05-15 13:38:25 -0600,18
2024-05-15 13:50:58 -0600,19
2024-05-15 13:59:33 -0600,18.5
2024-05-15 14:09:19 -0600,18.5
2024-05-15 14:18:33 -0600,19.5
2024-05-15 14:30:00 -0600,18
2024-05-15 14:42:58 -0600,18.5
2024-05-15 14:49:58 -0600,18.5
2024-05-15 14:58:23 -0600,18.5
2024-05-15 15:13:21 -0600,22.5
2024-05-15 15:20:01 -0600,17
2024-05-15 15:28:38 -0600,19.5
2024-05-15 15:41:58 -0600,17.5
2024-05-15 15:49:32 -0600,17.5
